date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:23	56686/56686	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:23%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/412/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/412/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:23	68412/68412	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:23%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/408/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/408/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:23	74757/74757	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:22%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/406/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/406/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:23	1104/1104	U-----	200	untouched ('OK')	text/css	etag:%22450-5b8553961c4fa%22	https://dev.closer2oxford.ro/css/table_style.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/css/table_style.css	(from https://dev.closer2oxford.ro/)
23:20:23	3892/3892	U-----	200	untouched ('')	application/javascript	etag:%22f34-5b85539711ac5%22	https://dev.closer2oxford.ro/js/jquery.MetaData.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.MetaData.js	(from https://dev.closer2oxford.ro/)
23:20:23	23471/23471	U-----	200	untouched ('')	application/javascript	etag:%225baf-5b85539713deb%22	https://dev.closer2oxford.ro/js/table_sorter.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/table_sorter.js	(from https://dev.closer2oxford.ro/)
23:20:23	50609/50609	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:23%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/416/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/416/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:24	45327/45327	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:23%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/411/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/411/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:24	29459/29459	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jan%202021%2021:20:25%20GMT	https://www.journalofdemocracy.org/sites/default/files/Brown-24-4.pdf	C:/work/web/ro.closer2oxford.static/closer2oxford/www.journalofdemocracy.org/sites/default/files/Brown-24-4.bc.delayed	(from https://dev.closer2oxford.ro/en)
23:20:24	146/146	---M--	403	error ('Forbidden')	text/html	date:Thu,%2007%20Jan%202021%2021:20:25%20GMT	http://closer2oxford.ro/uploads/2014/02/4/Online_debate_format_Closer2Oxford_meets_Diwanieh.df01v5.pdf	C:/work/web/ro.closer2oxford.static/closer2oxford/closer2oxford.ro/uploads/2014/02/4/Online_debate_format_Closer2Oxford_meets_Diwanieh.df01v5.be.delayed	(from https://dev.closer2oxford.ro/en)
23:20:25	53117/53117	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:24%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/415/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/415/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:25	55515/55515	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:24%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/409/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/409/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:25	47777/47777	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:24%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/413/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/413/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:25	51397/51397	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:25%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/407/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/407/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:25	65536/65536	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:25%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/414/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/414/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:25	46479/46479	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:25%20GMT	https://dev.closer2oxford.ro/page/ro/vezi_meciuri/410/sunt_arbitru	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/vezi_meciuri/410/sunt_arbitru.html	(from https://dev.closer2oxford.ro/)
23:20:25	3432/3432	U-----	200	untouched ('')	image/png	etag:%22d68-5b85539653f9a%22	https://dev.closer2oxford.ro/images/layout/right_arrow_yellow.png	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/right_arrow_yellow.png	(from https://dev.closer2oxford.ro/)
23:20:26	42663/42663	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:25%20GMT	https://dev.closer2oxford.ro/page/clasamente/11	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clasamente/11.html	(from https://dev.closer2oxford.ro/)
23:20:26	29819/29819	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:26%20GMT	https://dev.closer2oxford.ro/page/dezbatere_timisoara_runda_11	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_timisoara_runda_11.html	(from https://dev.closer2oxford.ro/)
23:20:27	55945/55945	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:26%20GMT	https://dev.closer2oxford.ro/page/clasamente/10	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clasamente/10.html	(from https://dev.closer2oxford.ro/)
23:20:27	30146/30146	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:26%20GMT	https://dev.closer2oxford.ro/page/dezbatere_bucuresti_runda_11	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_bucuresti_runda_11.html	(from https://dev.closer2oxford.ro/)
23:20:27	29366/29366	U--MC-	200	updated ('OK')	text/html	date:Thu,%2007%20Jan%202021%2021:20:26%20GMT	https://dev.closer2oxford.ro/page/dezbatere_bucuresti_runda_10	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/dezbatere_bucuresti_runda_10.html	(from https://dev.closer2oxford.ro/)
