date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:30	35053/35053	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:30%20GMT	https://dev.closer2oxford.ro/page/clubdebate/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/clubdebate/index.html	(from https://dev.closer2oxford.ro/)
22:49:30	38823/38823	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:30%20GMT	https://dev.closer2oxford.ro/page/oamenii/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/oamenii/index.html	(from https://dev.closer2oxford.ro/)
22:49:30	20551/20551	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:30%20GMT	https://dev.closer2oxford.ro/page/prez_structura_caz	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/prez_structura_caz.html	(from https://dev.closer2oxford.ro/)
22:49:30	17446/17446	---M--	200	added ('OK')	image/jpeg	etag:%224426-5b85539653bb3%22	https://dev.closer2oxford.ro/images/layout/ralu/struct.jpg	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/ralu/struct.jpg	(from https://dev.closer2oxford.ro/)
22:49:31	20743/20743	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:30%20GMT	https://dev.closer2oxford.ro/page/prez_strategie_caz	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/prez_strategie_caz.html	(from https://dev.closer2oxford.ro/)
22:49:31	16771/16771	---M--	200	added ('OK')	image/jpeg	etag:%224183-5b85539651c72%22	https://dev.closer2oxford.ro/images/layout/ralu/strateg.jpg	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/ralu/strateg.jpg	(from https://dev.closer2oxford.ro/)
22:49:31	25249/25249	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:31%20GMT	https://dev.closer2oxford.ro/page/proiectul/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/proiectul/index.html	(from https://dev.closer2oxford.ro/)
22:49:31	20796/20796	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:31%20GMT	https://dev.closer2oxford.ro/page/prez_argumentarea	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/prez_argumentarea.html	(from https://dev.closer2oxford.ro/)
22:49:31	18607/18607	---M--	200	added ('OK')	image/jpeg	etag:%2248af-5b85539650501%22	https://dev.closer2oxford.ro/images/layout/ralu/argument.jpg	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/ralu/argument.jpg	(from https://dev.closer2oxford.ro/)
22:49:31	20733/20733	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:31%20GMT	https://dev.closer2oxford.ro/page/prez_stil_caz	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/prez_stil_caz.html	(from https://dev.closer2oxford.ro/)
22:49:32	12240/12240	---M--	200	added ('OK')	image/jpeg	etag:%222fd0-5b8553965188a%22	https://dev.closer2oxford.ro/images/layout/ralu/stil.jpg	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/images/layout/ralu/stil.jpg	(from https://dev.closer2oxford.ro/)
22:49:32	63064/63064	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:32%20GMT	https://dev.closer2oxford.ro/page/home/	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/home/index.html	(from https://dev.closer2oxford.ro/)
22:49:32	53343/53343	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:32%20GMT	https://dev.closer2oxford.ro/page/ro/interviu_2015	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/interviu_2015.html	(from https://dev.closer2oxford.ro/)
22:49:32	22085/22085	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:32%20GMT	https://dev.closer2oxford.ro/page/ro/runda_13_incepe	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/runda_13_incepe.html	(from https://dev.closer2oxford.ro/)
22:49:32	31265/31265	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:32%20GMT	https://dev.closer2oxford.ro/page/ro/dezbatere_parada_Buc	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/dezbatere_parada_Buc.html	(from https://dev.closer2oxford.ro/)
22:49:32	22600/22600	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:32%20GMT	https://dev.closer2oxford.ro/page/ro/stire_dezbatere_timisoara_runda_11	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/stire_dezbatere_timisoara_runda_11.html	(from https://dev.closer2oxford.ro/)
22:49:33	21873/21873	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:33%20GMT	https://dev.closer2oxford.ro/page/ro/runda11_dezbateri	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/ro/runda11_dezbateri.html	(from https://dev.closer2oxford.ro/)
22:49:33	63087/63087	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2020:49:33%20GMT	https://dev.closer2oxford.ro/page/toate_stirile	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/page/toate_stirile.html	(from https://dev.closer2oxford.ro/)
22:49:34	70/70	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jan%202021%2020:49:35%20GMT	http://c443513.r13.cf2.rackcdn.com/static/widgets/w.js	C:/work/web/ro.closer2oxford.static/closer2oxford/c443513.r13.cf2.rackcdn.com/static/widgets/w.29.delayed	(from https://dev.closer2oxford.ro/)
22:49:34	1104/1104	---M--	200	added ('OK')	text/css	etag:%22450-5b8553961c4fa%22	https://dev.closer2oxford.ro/css/table_style.css	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/css/table_style.css	(from https://dev.closer2oxford.ro/)
22:49:35	23471/23471	---M--	200	added ('OK')	application/javascript	etag:%225baf-5b85539713deb%22	https://dev.closer2oxford.ro/js/table_sorter.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/table_sorter.js	(from https://dev.closer2oxford.ro/)
22:49:35	3892/3892	---M--	200	added ('OK')	application/javascript	etag:%22f34-5b85539711ac5%22	https://dev.closer2oxford.ro/js/jquery.MetaData.js	C:/work/web/ro.closer2oxford.static/closer2oxford/dev.closer2oxford.ro/js/jquery.MetaData.js	(from https://dev.closer2oxford.ro/)
